case:concept:name,concept:name,time:timestamp
78,grill,2021-01-02 13:34:07
77,leave,2021-01-02 13:34:44
80,spaghetti,2021-01-02 13:35:40
76,spaghetti,2021-01-02 13:36:24
82,enter,2021-01-02 13:39:41
78,grill,2021-01-02 13:40:33
79,spaghetti,2021-01-02 13:42:22
81,spaghetti,2021-01-02 13:46:42
78,leave,2021-01-02 13:47:46
76,leave,2021-01-02 13:51:55
80,grill,2021-01-02 13:56:01
82,pizza,2021-01-02 13:58:12
79,spaghetti,2021-01-02 14:02:27
80,leave,2021-01-02 14:05:13
81,grill,2021-01-02 14:06:03
83,enter,2021-01-02 14:15:52
81,spaghetti,2021-01-02 14:17:06
79,leave,2021-01-02 14:17:33
82,grill,2021-01-02 14:26:07
83,pizza,2021-01-02 14:27:40
81,grill,2021-01-02 14:35:31
83,spaghetti,2021-01-02 14:41:26
81,grill,2021-01-02 14:42:51
84,enter,2021-01-02 14:47:08
83,grill,2021-01-02 14:54:00
81,leave,2021-01-02 14:55:00
82,spaghetti,2021-01-02 14:56:29
83,grill,2021-01-02 14:58:27
84,pizza,2021-01-02 15:04:35
85,enter,2021-01-02 15:07:00
82,grill,2021-01-02 15:14:30
83,grill,2021-01-02 15:16:57
85,pizza,2021-01-02 15:21:01
83,grill,2021-01-02 15:23:03
84,grill,2021-01-02 15:26:10
84,spaghetti,2021-01-02 15:36:51
82,grill,2021-01-02 15:38:28
83,leave,2021-01-02 15:41:47
85,grill,2021-01-02 15:42:08
85,grill,2021-01-02 15:53:25
84,leave,2021-01-02 15:54:51
82,grill,2021-01-02 16:00:46
85,grill,2021-01-02 16:01:01
82,leave,2021-01-02 16:16:38
86,enter,2021-01-02 16:20:24
85,spaghetti,2021-01-02 16:21:18
86,pizza,2021-01-02 16:33:20
85,grill,2021-01-02 16:39:19
85,spaghetti,2021-01-02 16:52:38
86,grill,2021-01-02 17:02:46
85,spaghetti,2021-01-02 17:11:54
87,enter,2021-01-02 17:25:17
85,leave,2021-01-02 17:29:46
86,spaghetti,2021-01-02 17:32:04
87,pizza,2021-01-02 17:40:29
86,grill,2021-01-02 17:43:49
88,enter,2021-01-02 17:59:46
86,grill,2021-01-02 18:04:56
87,grill,2021-01-02 18:07:16
88,pizza,2021-01-02 18:19:41
88,grill,2021-01-02 18:37:05
87,spaghetti,2021-01-02 18:38:48
88,spaghetti,2021-01-02 18:44:50
89,enter,2021-01-02 18:47:48
87,spaghetti,2021-01-02 18:56:41
90,enter,2021-01-02 18:57:22
88,spaghetti,2021-01-02 18:58:15
89,pizza,2021-01-02 19:04:05
87,spaghetti,2021-01-02 19:09:08
91,enter,2021-01-02 19:12:56
90,spaghetti,2021-01-02 19:14:55
88,spaghetti,2021-01-02 19:15:50
87,spaghetti,2021-01-02 19:17:54
91,pizza,2021-01-02 19:26:59
87,spaghetti,2021-01-02 19:28:28
88,leave,2021-01-02 19:31:11
89,grill,2021-01-02 19:34:26
90,grill,2021-01-02 19:34:27
92,enter,2021-01-02 19:34:34
87,spaghetti,2021-01-02 19:40:02
89,spaghetti,2021-01-02 19:47:24
90,pizza,2021-01-02 19:48:36
91,spaghetti,2021-01-02 19:49:53
92,pizza,2021-01-02 19:53:56
93,enter,2021-01-02 19:54:22
87,leave,2021-01-02 19:58:48
89,grill,2021-01-02 20:05:33
91,grill,2021-01-02 20:09:42
93,pizza,2021-01-02 20:11:14
94,enter,2021-01-02 20:14:33
90,leave,2021-01-02 20:18:44
92,spaghetti,2021-01-02 20:23:41
94,pizza,2021-01-02 20:36:17
93,spaghetti,2021-01-02 20:38:04
92,grill,2021-01-02 20:39:00
92,grill,2021-01-02 20:43:35
93,grill,2021-01-02 20:47:56
92,leave,2021-01-02 20:49:34
93,spaghetti,2021-01-02 20:54:12
94,spaghetti,2021-01-02 20:55:14
95,enter,2021-01-02 21:04:20
94,grill,2021-01-02 21:12:10
93,grill,2021-01-02 21:13:10
95,pizza,2021-01-02 21:25:21
93,spaghetti,2021-01-02 21:32:20
96,enter,2021-01-02 21:35:44
94,grill,2021-01-02 21:40:31
95,spaghetti,2021-01-02 21:42:07
96,pizza,2021-01-02 21:43:25
93,leave,2021-01-02 21:44:06
96,spaghetti,2021-01-02 21:58:17
95,grill,2021-01-02 22:02:29
94,grill,2021-01-02 22:08:07
96,grill,2021-01-02 22:08:35
95,grill,2021-01-02 22:19:34
94,leave,2021-01-02 22:23:11
96,grill,2021-01-02 22:31:59
97,enter,2021-01-02 22:34:38
95,spaghetti,2021-01-02 22:39:32
97,pizza,2021-01-02 22:43:47
98,enter,2021-01-02 22:59:46
95,spaghetti,2021-01-02 22:59:57
96,leave,2021-01-02 23:00:15
97,spaghetti,2021-01-02 23:05:54
95,spaghetti,2021-01-02 23:07:47
99,enter,2021-01-02 23:14:03
98,pizza,2021-01-02 23:15:13
97,spaghetti,2021-01-02 23:23:32
95,spaghetti,2021-01-02 23:24:39
98,spaghetti,2021-01-02 23:32:19
99,spaghetti,2021-01-02 23:37:50
95,spaghetti,2021-01-02 23:39:57
97,spaghetti,2021-01-02 23:42:29
98,grill,2021-01-02 23:45:14
95,spaghetti,2021-01-02 23:54:09
99,grill,2021-01-02 23:57:44
97,spaghetti,2021-01-03 00:01:45
95,leave,2021-01-03 00:05:47
98,grill,2021-01-03 00:06:23
97,grill,2021-01-03 00:20:10
98,spaghetti,2021-01-03 00:27:11
97,spaghetti,2021-01-03 00:29:00
99,spaghetti,2021-01-03 00:29:31
99,pizza,2021-01-03 00:37:47
97,spaghetti,2021-01-03 00:41:38
97,leave,2021-01-03 00:55:30
99,leave,2021-01-03 01:04:11
